"nest_id"	"fate"	"date_on"	"date_off"	"TDR_extended"	"TDR_short"	"TDR_tot"	"NR_extended"	"NR_short"	"nest_age"	"number"
"SAND_2019A_BS_19_01"	"A"	2019-07-08 03:00:00	"2019-07-09 02:59:00"	0	121	121	0	25	4	12
"SAND_2019A_BS_19_01"	"A"	2019-07-09 03:00:00	"2019-07-10 02:59:00"	0	335	335	0	43	5	12
"SAND_2019A_BS_19_01"	"A"	2019-07-10 03:00:00	"2019-07-11 02:59:00"	0	66	66	0	22	6	12
"SAND_2019A_BS_19_01"	"A"	2019-07-11 03:00:00	"2019-07-12 02:59:00"	0	271	271	0	52	7	12
"SAND_2019A_BS_19_01"	"A"	2019-07-12 03:00:00	"2019-07-13 02:59:00"	435	74	509	1	15	8	12
"SAND_2019A_BS_19_01"	"A"	2019-07-13 03:00:00	"2019-07-14 02:59:00"	0	314	314	0	26	9	12
"SAND_2019A_BS_19_01"	"A"	2019-07-14 03:00:00	"2019-07-15 02:59:00"	0	250	250	0	58	10	12
"SAND_2019A_BS_19_01"	"A"	2019-07-15 03:00:00	"2019-07-16 02:59:00"	0	316	316	0	63	11	12
"SAND_2019A_BS_19_01"	"A"	2019-07-16 03:00:00	"2019-07-17 02:59:00"	854	64	918	1	8	12	12
"SAND_2019A_BS_19_09"	"H"	2019-07-19 06:00:00	"2019-07-20 05:59:00"	579	34	613	2	12	11	10
"SAND_2019A_BS_19_09"	"H"	2019-07-20 06:00:00	"2019-07-21 05:59:00"	0	178	178	0	27	12	10
"SAND_2019A_BS_19_09"	"H"	2019-07-21 06:00:00	"2019-07-22 05:59:00"	0	149	149	0	26	13	10
"SAND_2019A_BS_19_09"	"H"	2019-07-22 06:00:00	"2019-07-23 05:59:00"	689	73	762	1	17	14	10
"SAND_2019A_BS_19_09"	"H"	2019-07-23 06:00:00	"2019-07-24 05:59:00"	0	171	171	0	24	15	10
"SAND_2019A_BS_19_09"	"H"	2019-07-24 06:00:00	"2019-07-25 05:59:00"	290	137	427	1	13	16	10
"SAND_2019A_BS_19_09"	"H"	2019-07-25 06:00:00	"2019-07-26 05:59:00"	444	49	493	1	10	17	10
"SAND_2019A_BS_19_09"	"H"	2019-07-26 06:00:00	"2019-07-27 05:59:00"	0	159	159	0	25	18	10
"SAND_2019A_BS_19_09"	"H"	2019-07-27 06:00:00	"2019-07-28 05:59:00"	702	9	711	1	2	19	10
"SAND_2019A_BS_19_09"	"H"	2019-07-28 06:00:00	"2019-07-29 05:59:00"	364	34	398	1	14	20	10
"SAND_2019A_BS_19_17"	"H"	2019-07-27 08:00:00	"2019-07-28 07:59:00"	868	56	924	1	5	14	22
"SAND_2019A_BS_19_17"	"H"	2019-07-28 08:00:00	"2019-07-29 07:59:00"	935	96	1031	3	6	15	22
"SAND_2019A_BS_19_17"	"H"	2019-07-29 08:00:00	"2019-07-30 07:59:00"	234	322	556	1	23	16	22
"SAND_2019A_BS_19_17"	"H"	2019-07-30 08:00:00	"2019-07-31 07:59:00"	750	250	1000	1.9070796460177	22	17	22
"SAND_2019A_BS_19_17"	"H"	2019-07-31 08:00:00	"2019-08-01 07:59:00"	0	495	495	0	34.8429203539823	18	22
"SAND_2019A_BS_19_17"	"H"	2019-08-01 08:00:00	"2019-08-02 07:59:00"	0	467	467	0	48.25	19	22
"SAND_2019A_BS_19_17"	"H"	2019-08-02 08:00:00	"2019-08-03 07:59:00"	0	360	360	0	42.7142857142857	20	22
"SAND_2019A_BS_19_17"	"H"	2019-08-03 08:00:00	"2019-08-04 07:59:00"	0	384	384	0	48.2857142857143	21	22
"SAND_2019A_BS_19_17"	"H"	2019-07-12 16:00:00	"2019-07-13 15:59:00"	0	342	342	0	29.625	-1	22
"SAND_2019A_BS_19_17"	"H"	2019-07-13 16:00:00	"2019-07-14 15:59:00"	0	388	388	0	38.375	0	22
"SAND_2019A_BS_19_17"	"H"	2019-07-14 16:00:00	"2019-07-15 15:59:00"	261	280	541	1	36.1428571428571	1	22
"SAND_2019A_BS_19_17"	"H"	2019-07-15 16:00:00	"2019-07-16 15:59:00"	417	122	539	1	17.8571428571429	2	22
"SAND_2019A_BS_19_17"	"H"	2019-07-16 16:00:00	"2019-07-17 15:59:00"	554	78	632	1.57648725212465	16	3	22
"SAND_2019A_BS_19_17"	"H"	2019-07-17 16:00:00	"2019-07-18 15:59:00"	504	99	603	0.780034487005789	12	4	22
"SAND_2019A_BS_19_17"	"H"	2019-07-18 16:00:00	"2019-07-19 15:59:00"	757	84	841	1.64347826086957	10	5	22
"SAND_2019A_BS_19_17"	"H"	2019-07-19 16:00:00	"2019-07-20 15:59:00"	216	273	489	0.431137724550898	22	6	22
"SAND_2019A_BS_19_17"	"H"	2019-07-20 16:00:00	"2019-07-21 15:59:00"	419	269	688	0.979905220234378	31	7	22
